District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Glendale Union High School District,2017,Maricopa,2,T-5,9,"20, 24, 28, 29, and 30",Large,City,"15,552",10,57.3%,53.2%,7.6%,12.2%,4.0%,3.4%,8.2%,7.3%,$627,$763,Very Low,72,67,Very Low,$6.66,$6.41,Comparable,153,148,Comparable,Comparable,$2.92,$2.98,Comparable,Comparable,$5.36,$4.15,Very High,"$2,370","$1,809",Very High,Very High,"$4,756","$4,035",$627,$763,"$1,017",$941,$335,$348,$280,$383,$680,$622,$603,$501,"$8,298","$7,593","$1,241",$761,$741,$527,$269,$295,$44,$145,"$2,295","$1,728","$10,593","$9,321",46%,26%,36%,23%,59%,31%,94%,93%,91%,88%,27%,29%,12%,10%,21.2,21.6,"$58,687","$57,269","$6,641","$7,589",12.7,11.8,9%,18%,"$1,224",$896,"$4,204","$3,579","$4,684","$4,613","$10,112","$9,088","$5,502","$5,436",$249,$242,$50,$47,"$1,242",$943,$67,$98,$394,3 of 10,$0,0 of 10,$0,2 of 10,"$1,802",10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"4.6%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Globe Unified School District,2017,Gila,5,T-6,5,8,Medium,Town,"1,581",3,48.8%,50.2%,13.3%,17.4%,4.3%,6.7%,4.2%,5.3%,"$1,044","$1,102",Low,61,53,Low,$6.40,$5.20,Very High,213,263,Very Low,High,$3.34,$3.54,Low,Low,$4.46,$3.94,High,$930,$728,Very High,Very High,"$3,828","$4,541","$1,044","$1,102","$1,363","$1,289",$341,$396,$525,$488,$329,$632,$416,$346,"$7,846","$8,794",$72,$764,$531,$536,$0,$221,$82,$78,$685,"$1,599","$8,531","$10,393",20%,31%,21%,31%,33%,44%,92%,93%,89%,85%,26%,24%,13%,13%,18.3,17.0,"$41,930","$44,553","$5,238","$5,512",14.5,12.8,15%,16%,"$2,340","$3,999","$4,822","$4,066","$1,992","$4,210","$9,154","$12,275","$5,638","$5,929",$242,$243,$49,$49,"$1,785","$1,751",$67,$138,$0,1 of 29,$0,0 of 29,$621,14 of 29,$0,20 of 29,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"6.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Grand Canyon Unified School District,2017,Coconino,6,T-8,5,6,Small,Rural,274,2,41.2%,48.7%,21.7%,18.1%,3.3%,3.7%,4.6%,7.4%,"$3,632","$1,784",Very High,34,44,Very High,$10.79,$4.85,Very High,280,348,Very Low,High,$5.60,$3.70,Very High,Very High,$2.76,$2.95,Low,"$1,298","$1,037",Very High,High,"$6,881","$5,470","$3,632","$1,784","$3,024","$1,587",$555,$534,$621,$571,$760,$642,"$1,236",$423,"$16,709","$11,011",$0,$437,$642,$479,$103,$179,$168,$45,$913,"$1,140","$17,622","$12,151",36%,31%,34%,31%,45%,44%,94%,93%,95%,85%,26%,24%,18%,13%,11.0,17.0,"$46,488","$44,553","$4,437","$5,512",13.3,12.8,13%,16%,"$2,358","$2,411","$4,740","$3,824","$11,337","$7,054","$18,435","$13,289","$7,064","$7,159",$297,$285,$61,$57,$873,"$1,876",$336,$246,$0,0 of 20,"$3,651",4 of 20,"$1,505",5 of 20,$650,15 of 20,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,Impact Aid Fund reserve,Low,More than 3 years,Low,Marginally compliant,Moderate
Hackberry Elementary School District,2017,Mohave,11,T-11,17,5,Very small,Rural,41,1,43.7%,50.5%,24.1%,12.3%,12.5%,5.3%,1.7%,0.4%,"$4,811","$3,137",No Measure,14,32,No Measure,$5.77,$6.96,No Measure,427,412,No Measure,No Measure,$12.89,$5.79,No Measure,No Measure,$6.88,$1.87,No Measure,"$2,378","$1,459",No Measure,No Measure,"$8,732","$8,613","$4,811","$3,137","$2,466","$2,644","$2,496","$1,000","$1,052",$961,$330,$601,$85,$498,"$19,972","$17,454",$0,"$1,161",$565,$735,$0,$31,$0,$90,$565,"$2,017","$20,537","$19,471",50%,37%,61%,38%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,91%,94%,N/A,N/A,19%,19%,13%,14%,10.2,13.3,"$47,943","$44,961","$4,064","$4,257",21.3,12.6,0%,11%,"$2,708","$2,908","$2,304","$5,692","$16,002","$13,343","$21,014","$21,943","$9,554","$9,932",$394,$315,$51,$57,"$2,708","$2,701",$35,$184,$0,0 of 54,"$10,524",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"20.9%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Hayden-Winkelman Unified School District,2017,Gila,6,T-9,6,8,Small,Rural,263,2,47.2%,48.7%,13.6%,16.3%,4.3%,7.9%,6.4%,4.3%,"$1,896","$1,784",High,38,44,High,$3.58,$4.85,Very Low,637,348,Very High,Low,$3.26,$3.70,Low,Low,$3.72,$2.60,Very High,"$2,218","$1,363",Very High,Very High,"$6,612","$5,470","$1,896","$1,784","$2,279","$1,587",$606,$534,"$1,103",$571,$900,$642,$604,$423,"$14,000","$11,011",$307,$437,$721,$479,$44,$179,$19,$45,"$1,091","$1,140","$15,091","$12,151",17%,34%,21%,31%,15%,45%,93%,94%,88%,84%,29%,32%,15%,14%,13.2,16.4,"$47,900","$44,227","$5,868","$5,336",20.0,12.6,11%,17%,"$1,658","$2,411","$4,352","$3,824","$10,613","$7,054","$16,623","$13,289","$7,134","$7,159",$265,$285,$55,$57,"$1,870","$1,876",$39,$246,$0,0 of 20,"$5,506",4 of 20,$0,5 of 20,$25,15 of 20,Moderate,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"Frozen taxes, Unfunded",High,1 to 3 years,Moderate,Compliant,Low
Heber-Overgaard Unified School District,2017,Navajo,6,T-9,6,6,Small,Rural,456,4,51.3%,48.7%,14.6%,15.5%,3.5%,5.3%,5.4%,4.4%,"$1,445","$1,784",Very Low,47,44,Very Low,$4.37,$4.85,Low,351,348,Comparable,Low,$4.29,$3.70,Very High,Very High,$1.76,$2.60,Very Low,$600,"$1,363",Very Low,Very Low,"$5,070","$5,470","$1,445","$1,784","$1,534","$1,587",$347,$534,$518,$571,$537,$642,$438,$423,"$9,889","$11,011",$212,$437,$544,$479,"$1,061",$179,$48,$45,"$1,865","$1,140","$11,754","$12,151",43%,34%,38%,31%,71%,45%,94%,94%,93%,84%,28%,32%,12%,14%,14.8,16.4,"$42,665","$44,227","$5,256","$5,336",14.8,12.6,10%,17%,$628,"$2,411","$2,563","$3,824","$8,245","$7,054","$11,436","$13,289","$7,140","$7,159",$284,$285,$55,$57,$652,"$1,876",$81,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,824",15 of 20,Low,Increase,Low,No overspending,Low,No election held,No Measure,"3.4%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Higley Unified School District,2017,Maricopa,2,T-3,1,12,Large,Suburb,"11,720",13,59.8%,53.2%,10.3%,10.5%,3.4%,4.6%,6.3%,5.1%,$664,$763,Low,91,67,Low,$4.48,$6.41,Very Low,152,148,Comparable,Very Low,$2.88,$2.98,Comparable,Comparable,$4.24,$4.28,Comparable,"$1,083","$1,207",Low,Low,"$3,865","$4,035",$664,$763,$679,$941,$218,$348,$296,$383,$407,$622,$330,$501,"$6,459","$7,593",$715,$761,$496,$527,$632,$295,$352,$145,"$2,195","$1,728","$8,654","$9,321",60%,59%,58%,57%,71%,75%,95%,95%,91%,93%,7%,7%,11%,11%,18.4,18.3,"$45,252","$44,253","$5,022","$5,557",9.0,11.2,26%,21%,$327,$896,"$4,044","$3,579","$4,311","$4,613","$8,682","$9,088","$5,332","$5,436",$245,$242,$44,$47,$333,$943,$59,$98,$0,3 of 10,$0,0 of 10,$0,2 of 10,"$1,458",10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"6.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Hillside Elementary School District,2017,Yavapai,11,T-11,17,1,Very small,Rural,21,1,67.8%,50.5%,15.1%,7.4%,0.0%,5.3%,3.1%,1.3%,"$2,250","$3,137",No Measure,28,32,No Measure,$3.28,$6.96,No Measure,338,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,$1.08,$1.87,No Measure,"$1,306","$1,459",No Measure,No Measure,"$10,108","$8,613","$2,250","$3,137","$1,110","$2,644",$0,"$1,000",$795,$961,$454,$601,$191,$498,"$14,908","$17,454",$0,"$1,161",$0,$735,$0,$31,$0,$90,$0,"$2,017","$14,908","$19,471",58%,37%,53%,38%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,97%,94%,N/A,N/A,18%,19%,24%,14%,9.7,13.3,"$42,342","$44,961","$4,730","$4,257",15.5,12.6,0%,11%,$912,"$2,908","$3,791","$5,692","$10,099","$13,343","$14,802","$21,943","$7,173","$9,932",$283,$315,$58,$57,$943,"$2,701",$96,$184,$0,0 of 54,"$5,822",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"31.6%, Increasing",Low,More than 3 years,Low,Not assessed,No Measure
Holbrook Unified School District,2017,Navajo,5,T-10,6,6 and 7,Medium,Rural,"1,980",5,53.8%,50.2%,8.4%,12.3%,4.6%,7.1%,8.9%,4.9%,$915,"$1,102",Very Low,61,53,Very Low,$6.54,$5.20,Very High,206,263,Very Low,High,$2.93,$3.54,Very Low,Very Low,$1.46,$1.93,Very Low,"$1,062","$1,267",Very Low,Very Low,"$5,870","$4,541",$915,"$1,102","$1,347","$1,289",$505,$396,$775,$488,$970,$632,$531,$346,"$10,913","$8,794",$349,$764,$604,$536,$71,$221,$6,$78,"$1,030","$1,599","$11,943","$10,393",28%,34%,26%,31%,35%,45%,93%,94%,87%,84%,34%,32%,10%,14%,14.2,16.4,"$51,282","$44,227","$4,365","$5,336",13.5,12.6,14%,17%,"$3,977","$3,999","$5,539","$4,066","$2,138","$4,210","$11,654","$12,275","$6,130","$5,929",$226,$243,$39,$49,"$1,756","$1,751",$54,$138,"$1,019",1 of 29,$0,0 of 29,"$2,268",14 of 29,$732,20 of 29,Low,Steady,Low,Operating and capital,High,No election held,No Measure,Impact Aid Fund reserve,Low,More than 3 years,Low,Compliant,Low
Humboldt Unified School District,2017,Yavapai,3,T-4,3,1,Medium-large,Suburb,"5,426",9,54.7%,53.1%,8.6%,11.0%,5.8%,6.4%,7.4%,6.1%,$631,$837,Very Low,84,69,Very Low,$5.35,$6.01,Low,151,157,Comparable,Low,$3.05,$3.04,Comparable,Comparable,$3.26,$3.61,Low,"$1,130","$1,278",Low,Low,"$4,021","$3,991",$631,$837,$811,$965,$429,$324,$469,$433,$543,$640,$445,$338,"$7,349","$7,528",$159,$890,$246,$406,$292,$258,$37,$146,$734,"$1,700","$8,083","$9,228",40%,38%,41%,37%,57%,52%,94%,94%,95%,86%,20%,24%,12%,14%,19.0,18.8,"$44,459","$45,975","$6,053","$5,671",10.0,11.8,18%,16%,"$1,058",$781,"$3,413","$3,243","$3,992","$5,097","$8,463","$9,121","$5,598","$5,442",$246,$240,$46,$47,"$1,137",$866,$66,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$671,13 of 15,Low,Steady,Low,No overspending,Low,No election held,No Measure,"7.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Hyder Elementary School District,2017,Yuma,11,T-11,17,13,Very small,Rural,83,1,45.4%,50.5%,12.3%,19.0%,5.8%,6.8%,1.2%,9.5%,"$2,877","$3,137",No Measure,41,32,No Measure,$7.75,$6.96,No Measure,573,412,No Measure,No Measure,$4.24,$5.79,No Measure,No Measure,$1.93,$1.87,No Measure,"$1,343","$1,459",No Measure,No Measure,"$10,617","$8,613","$2,877","$3,137","$4,441","$2,644","$1,370","$1,000","$1,595",$961,$291,$601,"$2,217",$498,"$23,408","$17,454",$98,"$1,161",$638,$735,$12,$31,$143,$90,$891,"$2,017","$24,299","$19,471",49%,37%,45%,38%,95%,62%,96%,94%,N/A,N/A,18%,19%,11%,14%,10.3,13.3,"$57,472","$44,961","$2,563","$4,257",27.8,12.6,0%,11%,"$6,005","$2,908",$651,"$5,692","$18,088","$13,343","$24,744","$21,943","$9,911","$9,932",$297,$315,$58,$57,"$6,130","$2,701",$279,$184,$0,0 of 54,"$5,514",44 of 54,$0,5 of 54,$510,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"7.9%, Varying",Low,More than 3 years,Low,Compliant,Low
Isaac Elementary School District,2017,Maricopa,8,T-2,15,"19, 29, and 30",Medium-large,City,"6,778",10,51.8%,51.3%,11.3%,12.0%,8.1%,2.4%,8.4%,6.0%,"$1,027",$974,High,77,68,High,$9.43,$6.31,Very High,116,147,Very Low,High,$2.91,$2.75,High,High,$9.80,$5.31,Very High,"$1,517","$1,178",Very High,Very High,"$4,710","$4,164","$1,027",$974,"$1,095",$909,$733,$640,$215,$327,$770,$626,$546,$559,"$9,096","$8,199",$82,$924,$351,$582,$41,$255,$80,$146,$554,"$1,907","$9,650","$10,106",16%,25%,16%,22%,35%,37%,94%,94%,N/A,N/A,47%,44%,10%,10%,16.9,19.1,"$50,499","$52,696","$5,468","$4,542",9.5,10.3,21%,22%,"$2,061","$1,848","$4,718","$3,857","$2,455","$4,627","$9,234","$10,332","$5,016","$5,145",$236,$236,$44,$43,"$2,101","$1,915",$37,$54,$730,4 of 19,$0,0 of 19,$0,0 of 19,$753,19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"Frozen taxes, Unfunded",High,More than 3 years,Low,Compliant,Low
J.O. Combs Unified School District,2017,Pinal,3,T-4,2,8 and 16,Medium-large,Suburb,"4,351",7,49.2%,53.1%,11.0%,13.3%,4.4%,6.2%,11.7%,4.2%,$749,$837,Low,77,69,Low,$6.05,$6.01,Comparable,150,157,Comparable,Comparable,$2.93,$3.04,Comparable,Comparable,$3.23,$3.61,Low,$998,"$1,278",Very Low,Very Low,"$3,355","$3,991",$749,$837,$909,$965,$302,$324,$419,$433,$798,$640,$289,$338,"$6,821","$7,528",$50,$890,$241,$406,$101,$258,$185,$146,$577,"$1,700","$7,398","$9,228",37%,44%,34%,44%,47%,60%,94%,95%,88%,90%,13%,13%,15%,12%,20.9,18.4,"$38,618","$46,837","$6,727","$6,016",7.6,11.3,38%,18%,$778,$781,"$4,527","$3,243","$2,135","$5,097","$7,440","$9,121","$5,505","$5,442",$246,$240,$44,$47,$804,$866,$118,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$304,13 of 15,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"5.5%, Varying",Low,More than 3 years,Low,Compliant,Low
Joseph City Unified School District,2017,Navajo,6,T-9,6,6 and 7,Small,Rural,387,2,45.8%,48.7%,12.2%,17.1%,4.0%,6.7%,10.1%,4.1%,"$1,510","$1,784",Very Low,29,44,Very Low,$3.88,$4.85,Very Low,546,348,Very High,Low,$5.83,$3.70,Very High,Very High,$1.93,$2.60,Very Low,$905,"$1,363",Very Low,Very Low,"$5,679","$5,470","$1,510","$1,784","$2,120","$1,587",$490,$534,$831,$571,"$1,251",$642,$506,$423,"$12,387","$11,011",$591,$437,$516,$479,$388,$179,$131,$45,"$1,626","$1,140","$14,013","$12,151",45%,34%,47%,31%,59%,45%,94%,94%,96%,84%,37%,32%,15%,14%,14.4,16.4,"$43,129","$44,227","$4,240","$5,336",13.1,12.6,19%,17%,"$1,408","$2,411",$890,"$3,824","$13,232","$7,054","$15,530","$13,289","$7,234","$7,159",$264,$285,$52,$57,"$1,644","$1,876",$63,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$2,608",15 of 20,Moderate,Steady,Low,No overspending,Low,No election held,No Measure,"0.8%, Decreasing",High,1 to 3 years,Moderate,Compliant,Low
Kayenta Unified School District,2017,Navajo,5,T-10,7,7,Medium,Town,"1,724",3,37.3%,50.2%,10.8%,27.2%,3.4%,8.3%,9.0%,4.0%,"$1,621","$1,102",Very High,41,53,Very High,$12.47,$5.20,Very High,326,263,Very High,Very High,$2.71,$3.54,Very Low,Very Low,$3.07,$1.93,Very High,"$1,712","$1,267",Very High,Very High,"$5,585","$4,541","$1,621","$1,102","$4,066","$1,289",$503,$396,"$1,245",$488,"$1,351",$632,$605,$346,"$14,976","$8,794","$3,331",$764,$942,$536,$0,$221,$455,$78,"$4,728","$1,599","$19,704","$10,393",16%,18%,15%,17%,22%,25%,90%,92%,84%,79%,45%,43%,11%,12%,15.1,15.3,"$53,846","$48,972","$1,768","$4,489",16.1,12.6,5%,16%,"$8,473","$3,999","$6,218","$4,066","$1,721","$4,210","$16,412","$12,275","$6,195","$5,929",$228,$243,$46,$49,"$2,429","$1,751",$30,$138,$0,1 of 29,$0,0 of 29,"$6,247",14 of 29,$616,20 of 29,Low,Steady,Low,No overspending,Low,No election held,No Measure,"4.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Kingman Unified School District,2017,Mohave,4,T-8,5,5,Medium-large,Town,"6,498",11,50.6%,52.0%,10.8%,12.6%,4.9%,6.8%,7.3%,7.0%,$745,$844,Low,64,69,Low,$4.03,$5.36,Very Low,216,190,High,Very Low,$3.29,$3.00,High,High,$2.00,$2.95,Very Low,$604,"$1,037",Very Low,Very Low,"$3,493","$4,032",$745,$844,$869,$987,$337,$409,$471,$414,$502,$607,$483,$481,"$6,900","$7,774",$65,$346,$179,$390,$332,$164,$60,$77,$636,$977,"$7,536","$8,751",30%,31%,28%,31%,38%,44%,91%,93%,78%,85%,27%,24%,14%,13%,20.6,17.0,"$41,446","$44,553","$5,706","$5,512",11.5,12.8,27%,16%,"$1,086","$2,260","$3,145","$4,086","$4,420","$3,104","$8,651","$9,450","$5,670","$5,373",$238,$233,$46,$46,"$1,154","$1,374",$15,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$967,14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"4.5%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Kirkland Elementary School District,2017,Yavapai,11,T-11,19,1,Very small,Rural,79,1,53.1%,50.5%,15.1%,8.6%,5.5%,7.5%,7.6%,2.6%,"$1,997","$3,137",No Measure,45,32,No Measure,$8.62,$6.96,No Measure,133,412,No Measure,No Measure,$3.85,$5.79,No Measure,No Measure,$1.93,$1.87,No Measure,"$1,524","$1,459",No Measure,No Measure,"$7,039","$8,613","$1,997","$3,137","$1,146","$2,644",$735,"$1,000",$989,$961,"$1,000",$601,$345,$498,"$13,251","$17,454",$777,"$1,161",$441,$735,$20,$31,$0,$90,"$1,238","$2,017","$14,489","$19,471",38%,35%,40%,36%,36%,52%,93%,93%,N/A,N/A,32%,34%,26%,15%,13.1,14.8,"$44,655","$46,717","$4,708","$4,152",10.2,11.3,17%,16%,"$1,696","$2,908","$6,070","$5,692","$5,551","$13,343","$13,317","$21,943","$8,515","$9,932",$302,$315,$45,$57,"$2,036","$2,701",$78,$184,$0,0 of 54,"$5,281",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"32.6%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Kyrene Elementary School District,2017,Maricopa,7,T-3,12,18 and 27,Large,City,"16,202",25,60.4%,54.1%,7.9%,10.8%,3.6%,4.5%,7.4%,5.4%,$586,$796,Very Low,70,75,Very Low,$5.09,$6.23,Very Low,158,135,Very High,Low,$2.69,$2.77,Comparable,Comparable,$3.84,$4.28,Low,$918,"$1,207",Very Low,Very Low,"$4,494","$4,304",$586,$796,$803,$837,$268,$566,$332,$303,$553,$671,$402,$511,"$7,438","$7,988","$1,120",$499,$463,$357,$500,$361,$729,$168,"$2,812","$1,385","$10,250","$9,373",58%,52%,59%,53%,78%,73%,95%,95%,N/A,N/A,9%,12%,8%,9%,17.8,19.6,"$48,988","$48,025","$4,794","$5,969",12.0,10.3,15%,15%,$532,"$1,522","$3,430","$4,236","$5,893","$3,488","$9,855","$9,246","$5,165","$5,133",$231,$235,$44,$44,$527,"$1,543",$158,$45,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$2,492",10 of 10,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"9.8%, Increasing",Low,More than 3 years,Low,Compliant,Low
Lake Havasu Unified School District,2017,Mohave,3,T-5,3,5,Medium-large,City,"5,280",8,56.1%,53.1%,11.7%,12.3%,4.9%,3.2%,6.4%,5.4%,$778,$837,Low,65,69,Low,$5.54,$6.01,Low,148,157,Low,Low,$2.73,$3.04,Low,Low,$4.32,$4.15,Comparable,"$1,705","$1,809",Low,Comparable,"$3,737","$3,991",$778,$837,$820,$965,$327,$324,$217,$433,$428,$640,$360,$338,"$6,667","$7,528",$536,$890,$106,$406,$12,$258,$15,$146,$669,"$1,700","$7,336","$9,228",44%,38%,42%,37%,58%,52%,94%,94%,90%,86%,22%,24%,11%,14%,20.9,18.8,"$40,920","$45,975","$5,800","$5,671",9.5,11.8,20%,16%,$838,$781,"$2,078","$3,243","$4,861","$5,097","$7,777","$9,121","$5,018","$5,442",$230,$240,$46,$47,"$1,038",$866,$186,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$0,13 of 15,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"5.9%, Varying",Low,More than 3 years,Low,Compliant,Low
Laveen Elementary School District,2017,Maricopa,8,T-1,13,19 and 27,Medium-large,City,"6,476",8,54.0%,51.3%,10.4%,9.6%,7.2%,4.1%,7.1%,7.6%,$764,$974,Very Low,72,68,Very Low,$6.01,$6.31,Comparable,118,147,Very Low,Low,$2.89,$2.75,Comparable,Comparable,$7.23,$6.81,High,$669,$942,Very Low,Low,"$3,968","$4,164",$764,$974,$706,$909,$527,$640,$299,$327,$522,$626,$563,$559,"$7,349","$8,199",$608,$924,$471,$582,$111,$255,$167,$146,"$1,357","$1,907","$8,706","$10,106",41%,32%,35%,32%,60%,46%,94%,94%,N/A,N/A,24%,25%,13%,12%,19.2,19.1,"$48,601","$43,084","$3,801","$4,885",7.3,8.3,21%,30%,$981,"$1,848","$4,607","$3,857","$3,121","$4,627","$8,709","$10,332","$5,020","$5,145",$233,$236,$42,$43,"$1,049","$1,915",$25,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,614",19 of 19,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"4.4%, Increasing",Low,More than 3 years,Low,Compliant,Low
Liberty Elementary School District,2017,Maricopa,8,T-4,12,4 and 13,Medium-large,Suburb,"3,261",6,57.1%,51.3%,10.7%,9.7%,6.2%,6.3%,6.1%,3.9%,$745,$974,Very Low,77,68,Very Low,$4.98,$6.31,Very Low,136,147,Low,Very Low,$2.89,$2.75,High,High,$3.38,$3.61,Low,"$1,266","$1,278",Comparable,Comparable,"$3,971","$4,164",$745,$974,$676,$909,$427,$640,$438,$327,$424,$626,$268,$559,"$6,949","$8,199",$344,$924,$226,$582,$190,$255,$104,$146,$864,"$1,907","$7,813","$10,106",37%,52%,38%,53%,61%,73%,95%,95%,N/A,N/A,14%,12%,12%,9%,18.6,19.6,"$44,775","$48,025","$6,405","$5,969",11.1,10.3,15%,15%,$690,"$1,848","$4,786","$3,857","$2,856","$4,627","$8,332","$10,332","$5,354","$5,145",$236,$236,$43,$43,$946,"$1,915",$50,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,141",19 of 19,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"7%, Increasing",Low,More than 3 years,Low,Compliant,Low
Litchfield Elementary School District,2017,Maricopa,7,T-2,12,"13, 19, and 29",Large,Suburb,"10,791",14,58.5%,54.1%,9.3%,11.2%,5.0%,4.0%,7.5%,4.5%,$620,$796,Very Low,97,75,Very Low,$6.44,$6.23,Comparable,116,135,Low,Comparable,$2.65,$2.77,Comparable,Comparable,$3.39,$5.31,Very Low,$763,"$1,178",Very Low,Very Low,"$3,891","$4,304",$620,$796,$744,$837,$330,$566,$269,$303,$501,$671,$298,$511,"$6,653","$7,988",$565,$499,$292,$357,$151,$361,$301,$168,"$1,309","$1,385","$7,962","$9,373",56%,52%,55%,53%,77%,73%,95%,95%,N/A,N/A,11%,12%,9%,9%,21.5,19.6,"$51,874","$48,025","$6,391","$5,969",9.7,10.3,13%,15%,$593,"$1,522","$4,210","$4,236","$3,076","$3,488","$7,879","$9,246","$5,111","$5,133",$232,$235,$43,$44,$594,"$1,543",$49,$45,$0,4 of 10,$0,0 of 10,$5,2 of 10,"$1,018",10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"6.2%, Increasing",Low,More than 3 years,Low,Compliant,Low
